Type,Category,Source,Material,Subproduct,Usage,
Organic,Fruit,Apple,Apple cores,Vinegar,Food preservation,
Organic,Fruit,Apple,Apple cores,Vinegar,Salad dressing,
Organic,Fruit,Apple,Apple cores,Pectin,Thickening agent,
Organic,Fruit,Banana,Banana peels,Bioethanol,Fuel for vehicles,
Mechanical,Glass,Windows,Broken glass,Glass powder,Abrasives,
Organic,Fruit,Banana,Banana peels,Compost,Soil amendment,
Organic,Fruit,Orange,Orange peels,Essential oils,Aromatherapy,
Organic,Fruit,Orange,Orange peels,Essential oils,Fragrance,
Organic ,Beverage ,Coffee,Coffee Grounds,Caffeine ,Cosmetics ,
Organic ,Dairy ,Cheese,Whey,Lactose ,Pharmaceutical industries ,
Mechanical,Plastic,PET,PET bottles,Recycled PET (rPET) flakes,New bottles,
Mechanical,Plastic,HDPE,HDPE bottles,Recycled HDPE (rHDPE),New bottles,
Mechanical,Paper,Paper,Cardboard boxes,Recycled cardboard,Packaging material,
Organic,Food,Mixed,Fruit and vegetable scraps,Compost,Soil amendment,
Mechanical,Glass,Bottles,Glass bottles,Recycled glass cullet,New glass containers,
Mechanical,Textile,Used Clothes ,Cotton fabric scraps,Recycled cotton fibers,New textiles,
Mechanical,Metal,Aluminum,Aluminum cans,Recycled aluminum,New cans,
Mechanical,Electronics,Smartphones,Old smartphones,Refurbished smartphones,Resale,
Mechanical,Rubber,Tires,Tires,Recycled rubber,New tires,
Organic,Biomass,Wood,Wood waste,Biomass pellets,Heating fuel,
Mechanical,Electronics,Computers,Old computers,Recycled plastic,New plastic products,
Mechanical,Paper,Paper,Newspaper,Recycled paper pulp,New paper products,
Mechanical,Metal,Copper,Copper wires,Recycled copper,New wires,
Mechanical,Textile,Used Clothes ,Wool fabric scraps,Recycled wool fibers,New textiles,
Organic,Biomass,Algae,Algae biomass,Algal protein,Animal feed,
Mechanical,Rubber,Bands,Rubber bands,Recycled rubber,New rubber products,
Organic,Biomass,Leaves,Leaves,Mulch,Soil moisture retention,
Organic,Vegetable,Beet,Beet Pulp,Beet Pulp Pellets,Animal feed,
Organic,Fruit,Grapes,Grape stems,Resveratrol,Skincare ingredient,
Organic,Vegetable,Onion,Onion skins,Natural dye,Textile dyeing,
Mechanical,Plastic,Polypropylene,Polypropylene,Recycled PP (rPP),New containers,
Mechanical,Metal,Steel,Steel cans,Recycled steel,New steel products,
Organic,Biomass,Sawdust,Sawdust,Wood pellets,Biomass fuel,
Organic,Food,Coffee,Coffee grounds,Bioplastics,Biodegradable packaging,
Mechanical,Glass,Windows,Glass windows,Recycled glass cullet,New glass products,
Mechanical,Textile,Silk,Silk fabric scraps,Recycled silk fibers,New textiles,
Mechanical,Electronics,Monitors,Old monitors,Refurbished monitors,Resale,
Mechanical,Rubber,Shoes,Rubber shoe soles,Recycled rubber,New shoe products,
Organic,Biomass,Hay,Hay bales,Biomass bricks,Heating fuel,
Organic,Vegetable,Corn,Corn husks,Animal bedding,Livestock bedding,
Mechanical,Plastic,PVC,PVC pipes,Recycled PVC (rPVC),New pipes,
Mechanical,Metal,Copper,Copper pipes,Recycled copper,New plumbing fixtures,
Organic,Fruit,Mango,Mango pits,Mango seed oil,Cosmetic ingredient,
Organic,Grains,Rice,Rice Husks,Rice Bran,Animal feed,
Organic,Animal,Meat,Meat Trimmings,Pet food,Animal feed,
Organic,Biomass,Sawdust,Sawdust,Wood pellets,Biomass fuel,
Organic,Biomass,Sawdust,Sawdust,Wood pellets,Heating fuel,
Mechanical,Glass,Windows,Glass windows,Recycled glass cullet,New glass products,
Mechanical,Textile,Silk,Silk fabric scraps,Recycled silk fibers,New textiles,
Mechanical,Electronics,Monitors,Old monitors,Refurbished monitors,Resale,
Mechanical,Rubber,Shoes,Rubber shoe soles,Recycled rubber,New shoe products,
Organic,Biomass,Hay,Hay bales,Biomass bricks,Heating fuel,
Organic,Vegetable,Corn,Corn husks,Animal bedding,Livestock bedding,
Organic,Fruit,Mango,Mango pits,Mango seed oil,Cosmetic ingredient,
Organic,Vegetable,Celery,Celery leaves,Celery leaf tea,Beverage,
Mechanical,Metal,Copper,Copper pipes,Recycled copper,New plumbing fixtures,
Mechanical,Metal,Copper,Copper wires,Recycled copper,New electrical wiring,
Organic,Fruit,Avocado,Avocado pits,Avocado pit tea,Beverage,
Organic,Vegetable,Beet,Beet greens,Beet green extract,Natural food coloring,
Organic,Vegetable,Beet,Beet peels,Beet peel chips,Snack,
Organic,Vegetable,Beet,Beet peels,Beet peel essence,Aromatherapy,
Mechanical,Plastic,PP,Polypropylene containers,Recycled PP (rPP),New containers,
Mechanical,Plastic,PP,Polypropylene containers,Polypropylene pellets,Plastic lumber,
Organic,Fruit,Guava,Guava peels,Guava peel tea,Beverage,
Organic,Fruit,Mango,Mango seeds,Mango seed flour,Baking,
Organic,Fruit,Persimmon,Persimmon leaves,Persimmon leaf tea,Beverage,
Organic,Fruit,Mango,Mango peels,Mango peel fertilizer,Plant nutrient,
Mechanical,Glass,Windows,Broken glass,Glass cullet,New glass products,
Organic,Fruit,Pomegranate,Pomegranate peels,Pomegranate peel tea,Beverage,
Organic,Biomass,Sawdust,Sawdust,Sawdust briquettes,Heating fuel,
Organic,Biomass,Sawdust,Sawdust,Sawdust mulch,Soil moisture retention,
Organic,Biomass,Sawdust,Sawdust pellets,Animal bedding,Livestock comfort,
Mechanical,Textile,Silk,Silk fibers,Recycled silk fibers,New textiles,
Mechanical,Textile,Silk,Silk fibers,Silk thread,Embroidery,
Mechanical,Textile,Silk,Silk fabric scraps,Silk quilt batting,Quilting,
Organic,Vegetable,Pumpkin,Pumpkin seeds,Pumpkin seed oil,Cooking oil,
Organic,Vegetable,Pumpkin,Pumpkin seeds,Pumpkin seed flour,Baking,
Organic,Vegetable,Pumpkin,Pumpkin peels,Pumpkin peel chips,Snack,
Organic,Vegetable,Pumpkin,Pumpkin peels,Pumpkin peel powder,Natural dye,
Organic,Fruit,Pineapple,Pineapple cores,Bromelain extract,Digestive enzyme,
Organic,Fruit,Pineapple,Pineapple cores,Pineapple vinegar,Salad dressing,
Organic,Fruit,Pineapple,Pineapple leaves,Pineapple leaf fiber,Textiles,
Organic,Fruit,Pineapple,Pineapple leaves,Pineapple leaf extract,Herbal medicine,
Mechanical,Plastic,PVC,PVC pipes,Recycled PVC (rPVC),New pipes,
Mechanical,Plastic,PVC,PVC pipes,PVC granules,Vinyl flooring,
Organic,Vegetable,Carrot,Carrot tops,Carrot top pesto,Culinary,
Organic,Vegetable,Carrot,Carrot tops,Carrot top broth,Soup base,
Organic,Vegetable,Carrot,Carrot peels,Carrot peel powder,Food coloring,
Organic,Vegetable,Carrot,Carrot peels,Carrot peel essence,Aromatherapy,
Mechanical,Paper,Cardboard,Cardboard boxes,Recycled cardboard,Packaging material,
Mechanical,Paper,Cardboard,Cardboard boxes,Cardboard pulp,New paper products,
Mechanical,Paper,Cardboard,Paper scraps,Recycled paper pulp,New paper products,
Mechanical,Paper,Cardboard,Paper scraps,Paper pellets,Animal bedding,
Organic,Biomass,Algae,Algae biomass,Algal oil,Biofuel,
Organic,Vegetable,Kale,Kale stems,Kale stem smoothie,Beverage,
Organic,Biomass,Algae,Algae shells,Calcium carbonate,Fertilizer,
Mechanical,Metal,Copper,Copper wires,Recycled copper,"New wires, electrical components",
Mechanical,Metal,Copper,Copper pipes,Copper tubing,Plumbing,
Mechanical,Metal,Copper,Copper pipes,Copper sheet,Roofing material,
Organic,Vegetable,Artichoke,Artichoke leaves,Artichoke leaf tea,Beverage,
Organic,Fruit,Pineapple,Pineapple cores,Pineapple core juice,Beverage,
Organic,Vegetable,Beet,Beet greens,Beet green smoothie,Beverage,
Organic,Fruit,Avocado,Avocado peels,Avocado peel fertilizer,Plant nutrient,
Mechanical,Plastic,Plastic Packaging Waste,Plastic Caps,Recycled PET (rPET),New Bottles,
Mechanical,Plastic,Plastic Packaging Waste,Plastic Caps,Recycled HDPE (rHDPE),New Bottles,
Mechanical,Plastic,Plastic Packaging Waste,Plastic Wrappers,Recycled LDPE (rLDPE),Plastic Bags,
Mechanical,Plastic,Plastic Packaging Waste,Plastic Wrappers,Recycled PP (rPP),New Packaging,
Organic,Vegetable,Olive,Olive Pomace,Olive Oil,Cooking,
Organic,Vegetable,Tomato,Tomato vines,Tomato vine tea,Beverage,
Mechanical,Metal,Automotive,Automotive Scrap,Aluminum Cans,Recycled Aluminum,
Mechanical,Metal,Automotive,Automotive Scrap,Steel Scrap,Recycled Steel,
Organic,Vegetable,Potato,Potato Peels,Potato Peel Powder,Food Coloring,
Organic,Vegetable,Spinach,Spinach stalks,Spinach stalk smoothie,Beverage,
Mechanical,Metal,Scrap Copper Wire,Copper Wire,Recycled Copper,New Wires,
Mechanical,Metal,Scrap Copper Wire,Copper Wire,Copper Granules,Metal Fabrication,
Organic,Fruit,Mango,Mango Seeds,Mango Seed Oil,Skin Care,
Organic,Fruit,Mango,Mango Seeds,Mango Seed Powder,Dietary Fiber,
Mechanical,Plastic,Plastic Bottle Waste,Plastic Caps,Recycled Plastic, Plastic Products,
Mechanical,Plastic,Plastic Bottle Waste,Plastic Caps,Plastic Granules,Plastic Manufacturing,
Organic,Fruit,Coffee,Coffee Grounds,Coffee Ground Powder,Fertilizer,
Organic,Fruit,Mango,Mango peels,Mango peel tea,Beverage,
Organic,Vegetable,Tomato,Tomato Skins,Tomato Skin Powder,Food Coloring,
Organic,Fruit,Avocado,Avocado peels,Avocado peel tea,Beverage,
Organic,Vegetable,Tomato,Tomato Pulp,Tomato Pulp Extract,Sauce Base,
Organic,Vegetable,Tomato,Tomato Pulp,Tomato Pulp Fiber,Dietary Fiber,
Organic,Vegetable,Tomato,Tomato Seeds,Tomato Seed Oil,Cooking Oil,
Organic,Vegetable,Tomato,Tomato Seeds,Tomato Seed Flour,Baking Ingredient,
Organic,Vegetable,Tomato,Tomato Juice,Tomato Juice Concentrate,Beverage,
Organic,Vegetable,Tomato,Tomato Juice,Tomato Juice Powder,Instant Drink Mix,
Organic,Vegetable,Tomato,Tomato Juice,Tomato Pulp Extract,Sauce Base,
Organic,Vegetable,Tomato,Tomato Leaves,Tomato Leaf Extract,Natural Insect Repellent,
Organic,Vegetable,Lettuce,Lettuce Trimmings,Lettuce Leaf Extract,Dietary Fiber,
Organic,Vegetable,Lettuce,Lettuce Trimmings,Compost,Soil Amendment,
Mechanical,Paper,Newspapers,Newspaper Waste,Paper Pulp,New Paper Products,
Mechanical,Metal,Steel,Steel Cans,Steel Can Waste,New Steel Products,
Organic,Vegetable,Broccoli,Broccoli Stems,Broccoli Stem Soup,Culinary,
Organic,Vegetable,Broccoli,Broccoli Stems,Compost,Soil Amendment,
Mechanical,Plastic,Plastic Straw Waste,Plastic Straws,Recycled Plastic,New Straws,
Organic,Fruit,Grape,Grape Pomace,Grape Seed Oil,Cooking Oil,
Organic,Vegetable,Celery,Celery Trimmings,Celery Juice,Beverage,
Organic,Fruit,Banana,Banana Peels,Banana Peel Tea,Beverage,
Organic,Vegetable,Celery,Celery Trimmings,Celery Trimming Powder,Seasoning,
Mechanical,Glass,Glass Bottle Waste,Glass Bottles,Recycled Glass Cullet,New Glass Containers,
Organic,Vegetable,Celery,Celery Trimmings,Celery Juice,Beverage,
Organic,Vegetable,Cucumber,Cucumber Peels,Cucumber Peel Powder,Food Coloring,
Mechanical,Metal,Tin,Tin Cans,Recycled Tin,New Tin Products,
Organic,Vegetable,Artichoke,Artichoke stems,Biomaterial,Bioplastic,
Organic,Vegetable,Spinach,Spinach Stalks,Compost,Soil Amendment,
Mechanical,Plastic,Plastic Bottle Waste,Plastic Bottles,Recycled Plastic,New Bottles,
Organic,Fruit,Orange,Orange Peels,Orange Peel Powder,,
Organic,Fruit,Orange,Orange Peels,Orange Peel Powder,Food coloring,
Organic,Seafood,Shellfish,Shellfish shells,Chitin,Bioplastic,
Organic,Fruit,Orange,Orange peels,Citrus cleaner,Cleanser,
Organic,Fruit,Orange,Orange Peels,Orange Peel Extract,Herbal medicine,
Organic,Fruit,Lemon,Lemon Peels,Lemon Peel Powder,Cleanser,
Organic,Fruit,Apple,Apple Cores,Apple Seed Oil,Cooking,
Organic,Fruit,Mango,Mango pits,Mango pit scrub,Cleanser,
Organic,Fruit,Apple,Apple Cores,Apple Peel Extract,Natural dye,
Organic,Vegetable,Cucumber,Cucumber peels,Cucumber peel face mask,Cleanser,
Organic,Fruit,Banana,Banana Peels,Banana Peel Tea,Natural remedy,
Organic,Fruit,Banana,Banana Peels,Banana Peel Powder,Dietary fiber,
Organic,Fruit,Banana,Banana Peels,Banana Peel Powder,Baking ingredient,
Organic,Herbal,Tea,Tea Bags,Used tea leaves,Compost,
Organic,Fruit,Mango,Mango Seeds,Mango Seed Oil,Cooking,
Organic,Dairy,Whey,Biomass,Biomass,Compost,
Organic,Grains,Rice,Rice Husks,Rice Husk Ash,Construction,
Organic,Fruit,Pineapple,Pineapple Cores,Bromelain Extract,Digestive enzyme,
Organic,Fruit,Pineapple,Pineapple Cores,Bromelain Extract,Meat tenderizer,
Organic,Fruit,Pineapple,Pineapple Cores,Pineapple Vinegar,Salad dressing,
Organic,Fruit,Pineapple,Pineapple Cores,Pineapple Vinegar,Marinade,
Organic,Vegetable,Potato,Potato Peels,Potato Peel Powder,Food coloring,
Organic,Vegetable,Squash,Squash seeds,Squash seed oil,Cosmetics,
Organic,Fruit,Orange,Orange Peels,Orange Peel Powder,Cosmetics,
Organic,Vegetable,Potato,Potato Peels,Potato Peel Extract,Herbal medicine,
Organic,Vegetable,Carrot,Carrot Tops,Carrot Top Pesto,Culinary,
Organic,Vegetable,Carrot,Carrot Tops,Carrot Top Pesto,Sauce,
Organic,Vegetable,Carrot,Carrot Tops,Carrot Top Broth,Soup base,
Organic,Vegetable,Carrot,Carrot Tops,Carrot Top Broth,Vegetable stock,
Organic,Vegetable,Onion,Onion Skins,Onion Skin Extract,Natural dye,
Organic,Vegetable,Onion,Onion Skins,Onion Skin Extract,Herbal medicine,
Organic,Fruit,Mango,Mango Seeds,Mango Seed Extract,Cosmetics,
Organic,Vegetable,Potato,Potato Peels,Potato Peel Powder,Cosmetics,
Organic,Fruit,Orange,Orange Peels,Orange Peel Powder,Cosmetics,
Organic,Fruit,Kiwi,Kiwi Skins,Kiwi Skin Powder,Cosmetics,
Organic,Vegetable,Celery,Celery Trimmings,Celery Extract,Natural remedy,
Organic,Fruit,Lychee,Lychee Skins,Lychee Skin Powder,Cosmetics,
Organic,Biomass,Rice,Rice Husks,Rice Husk Ash,Insulation material,
Organic,Biomass,Rice,Rice Husks,Rice Husk Ash,Soil amendment,
Organic,Biomass,Rice,Rice Husks,Rice Husk Pellets,Fuel,
Organic,Biomass,Rice,Rice Husks,Rice Husk Pellets,Animal bedding,
